iter	Passed	Remaining
0	16	5873
1	35	6196
2	53	6204
3	73	6350
4	98	6793
5	119	6841
6	137	6735
7	161	6901
8	183	6945
9	204	6947
10	226	6969
11	246	6949
12	266	6899
13	283	6799
14	305	6816
15	323	6760
16	341	6698
17	358	6614
18	374	6532
19	394	6502
20	411	6449
21	432	6442
22	453	6440
23	472	6424
24	488	6356
25	505	6296
26	526	6303
27	545	6278
28	568	6296
29	586	6252
30	606	6239
31	623	6193
32	641	6163
33	661	6151
34	677	6099
35	697	6080
36	721	6100
37	738	6062
38	756	6032
39	776	6015
40	792	5973
41	813	5968
42	832	5940
43	848	5900
44	864	5859
45	882	5829
46	898	5791
47	919	5784
48	941	5780
49	970	5820
50	985	5778
51	1001	5738
52	1020	5721
53	1040	5701
54	1060	5686
55	1076	5653
56	1092	5615
57	1107	5577
58	1123	5543
59	1139	5507
60	1161	5501
61	1180	5481
62	1197	5455
63	1219	5449
64	1238	5428
65	1258	5415
66	1276	5390
67	1290	5352
68	1309	5332
69	1326	5305
70	1345	5286
71	1363	5263
72	1380	5239
73	1396	5210
74	1415	5188
75	1432	5165
76	1453	5152
77	1472	5136
78	1490	5113
79	1511	5102
80	1531	5087
81	1549	5063
82	1563	5029
83	1579	5000
84	1594	4971
85	1609	4941
86	1626	4916
87	1643	4894
88	1662	4875
89	1677	4846
90	1695	4824
91	1712	4801
92	1728	4777
93	1747	4758
94	1762	4731
95	1784	4720
96	1803	4703
97	1822	4685
98	1839	4663
99	1857	4643
100	1873	4617
101	1887	4590
102	1906	4571
103	1923	4549
104	1938	4522
105	1957	4506
106	1977	4490
107	1995	4471
108	2017	4461
109	2034	4437
110	2053	4421
111	2078	4416
112	2096	4396
113	2116	4380
114	2136	4366
115	2161	4359
116	2180	4342
117	2202	4330
118	2223	4316
119	2251	4314
120	2270	4296
121	2302	4302
122	2344	4327
123	2367	4315
124	2380	4284
125	2395	4258
126	2407	4228
127	2421	4199
128	2437	4175
129	2457	4158
130	2476	4140
131	2494	4118
132	2513	4100
133	2529	4077
134	2547	4057
135	2564	4034
136	2580	4012
137	2598	3991
138	2618	3975
139	2640	3960
140	2660	3944
141	2680	3927
142	2703	3913
143	2719	3890
144	2736	3868
145	2753	3846
146	2771	3827
147	2786	3803
148	2799	3776
149	2814	3752
150	2831	3730
151	2848	3710
152	2864	3688
153	2878	3663
154	2895	3643
155	2912	3621
156	2930	3602
157	2949	3584
158	2971	3570
159	2989	3550
160	3007	3530
161	3024	3509
162	3041	3489
163	3059	3469
164	3076	3448
165	3093	3429
166	3106	3404
167	3124	3385
168	3140	3363
169	3160	3346
170	3178	3327
171	3197	3309
172	3218	3293
173	3238	3275
174	3254	3254
175	3273	3235
176	3289	3215
177	3305	3194
178	3324	3175
179	3340	3155
180	3358	3136
181	3379	3119
182	3394	3097
183	3414	3080
184	3432	3061
185	3446	3038
186	3463	3018
187	3481	2999
188	3495	2977
189	3514	2959
190	3532	2940
191	3547	2919
192	3565	2900
193	3585	2882
194	3603	2864
195	3622	2845
196	3642	2829
197	3655	2806
198	3675	2789
199	3693	2770
200	3712	2751
201	3731	2733
202	3750	2715
203	3768	2697
204	3789	2680
205	3805	2659
206	3822	2640
207	3840	2622
208	3857	2602
209	3873	2582
210	3893	2564
211	3913	2547
212	3938	2533
213	3961	2517
214	3981	2500
215	4003	2483
216	4033	2471
217	4055	2455
218	4074	2437
219	4096	2420
220	4115	2402
221	4128	2380
222	4144	2360
223	4160	2340
224	4176	2320
225	4189	2298
226	4204	2278
227	4218	2257
228	4233	2237
229	4248	2216
230	4264	2196
231	4282	2178
232	4296	2157
233	4310	2136
234	4326	2117
235	4341	2097
236	4355	2076
237	4368	2055
238	4386	2037
239	4402	2017
240	4415	1997
241	4428	1976
242	4445	1957
243	4463	1939
244	4479	1919
245	4497	1901
246	4516	1883
247	4529	1862
248	4543	1843
249	4558	1823
250	4573	1803
251	4589	1784
252	4608	1767
253	4623	1747
254	4639	1728
255	4656	1709
256	4671	1690
257	4685	1670
258	4700	1651
259	4714	1631
260	4728	1612
261	4745	1593
262	4758	1574
263	4772	1554
264	4786	1535
265	4801	1516
266	4815	1496
267	4830	1478
268	4846	1459
269	4860	1440
270	4876	1421
271	4892	1402
272	4908	1384
273	4924	1365
274	4942	1348
275	4959	1329
276	4981	1312
277	4996	1294
278	5014	1276
279	5027	1256
280	5044	1238
281	5058	1219
282	5076	1201
283	5094	1183
284	5112	1166
285	5129	1147
286	5151	1130
287	5173	1113
288	5192	1096
289	5212	1078
290	5230	1060
291	5248	1042
292	5268	1024
293	5286	1006
294	5301	988
295	5318	970
296	5336	952
297	5355	934
298	5372	916
299	5391	898
300	5411	880
301	5426	862
302	5445	844
303	5464	826
304	5482	808
305	5499	790
306	5515	772
307	5531	754
308	5549	736
309	5568	718
310	5584	700
311	5604	682
312	5627	665
313	5646	647
314	5667	629
315	5685	611
316	5709	594
317	5730	576
318	5750	558
319	5773	541
320	5790	523
321	5820	506
322	5842	488
323	5867	470
324	5888	452
325	5910	435
326	5931	417
327	5952	399
328	5970	381
329	5991	363
330	6008	344
331	6029	326
332	6048	308
333	6067	290
334	6086	272
335	6105	254
336	6125	236
337	6141	218
338	6160	199
339	6180	181
340	6204	163
341	6222	145
342	6239	127
343	6256	109
344	6276	90
345	6292	72
346	6310	54
347	6330	36
348	6350	18
349	6371	0
